Program,CatNo,L1,L2,L3,L4
PNC,Cat9,Positive Feedback,Appreciating Agent,Agent Behaviour,Nice Rep
PNC,Cat10,Positive Feedback,Appreciating Agent,Agent Behaviour,Patient Rep
PNC,Cat11,Positive Feedback,Appreciating Agent,Agent Behaviour,Pleasant Rep
PNC,Cat12,Positive Feedback,Appreciating Agent,Agent Behaviour,Polite Rep
PNC,Cat13,Positive Feedback,Appreciating Agent,Agent Behaviour,Professional Rep
PNC,Cat14,Positive Feedback,Appreciating Agent,Agent Communication,Clear Explanation by Rep
PNC,Cat15,Positive Feedback,Appreciating Agent,Agent Communication,Excellent communication
PNC,Cat16,Positive Feedback,Appreciating Agent,Agent Communication,Excellent tone
PNC,Cat17,Positive Feedback,Appreciating Agent,Agent Communication,Quick / Prompt Rep
PNC,Cat18,Positive Feedback,Appreciating Agent,Agent Knowledge,Knowledgeable Rep
PNC,Cat19,Positive Feedback,Appreciating Agent,Agent Knowledge,Rep has Clear Understanding
PNC,Cat20,Positive Feedback,Appreciating Process,Appreciating Application Process,Appreciating Application Process
PNC,Cat21,Positive Feedback,Appreciating Process,Issue Resolved,Issue Resolved
PNC,Cat22,Positive Feedback,Appreciating Product & Service,Appreciating Product,Good calling service
PNC,Cat23,Positive Feedback,Appreciating Product & Service,Appreciating Product,Good plans
PNC,Cat24,Positive Feedback,Appreciating Product & Service,Appreciating Website / App,Good Website
PNC,Cat25,Positive Feedback,Appreciating Product & Service,Customer Will Recommend Service,Customer Will Recommend Service
PNC,Cat26,Positive Feedback,Appreciating Product & Service,Excellent / Good Service,Excellent / Good Service
PNC,Cat27,Positive Feedback,Appreciating Product & Service,Excellent Products,Excellent Products
PNC,Cat28,Positive Feedback,Appreciating Product & Service,Good Promotion / Offer,Good Promotion / Offer
PNC,Cat29,Positive Feedback,Appreciating Product & Service,Good Rates,Good Rates
PNC,Cat30,Positive Feedback,Appreciating Product & Service,Professional service,Professional service
PNC,Cat31,Positive Feedback,Appreciating Product & Service,Reliable Service,Reliable Service
PNC,Cat32,Positive Feedback,Appreciating Product & Service,Timely service,Timely service
PNC,Cat33,Positive Feedback,Appreciating Technology,Appreciating Website / App,Nice APP
PNC,Cat34,Process,Account Management,Application Related,Application Related
PNC,Cat35,Process,Process,Application Process Issues,Application Process Issues
PNC,Cat36,Product/Policy,Product,Product Pricing / Rate Issue,High Fees
